,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime
0,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,BGF3,3,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A15%3A40+GMT-0400+(EDT)
1,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,YNT4,4,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A17%3A02+GMT-0400+(EDT)
2,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,XRZ5,5,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A17%3A19+GMT-0400+(EDT)
3,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,TGS6,6,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A21%3A22+GMT-0400+(EDT)
4,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,TGS6,6,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pen,4,stimulus.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A21%3A29+GMT-0400+(EDT)
5,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,sound1,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,pharon,undefined,2,undefined,undefined,1,EIV,Mon+Sep+19+2016+17%3A22%3A25+GMT-0400+(EDT)
6,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,pen,4,stimulus.ejs,undefined,EIV,Mon+Sep+19+2016+17%3A22%3A27+GMT-0400+(EDT)
7,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,tesuf,5,stimulusTest.ejs,56,EIV,Mon+Sep+19+2016+17%3A22%3A32+GMT-0400+(EDT)
8,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,view,frame,deviceName,localTime
,OUG7,7,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FphonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue,zitav,6,stimulusTest.ejs,61,EIV,Mon+Sep+19+2016+17%3A22%3A36+GMT-0400+(EDT)
